,cluster
sample_205,2
sample_206,2
sample_207,2
sample_208,2
sample_209,2
sample_210,2
sample_211,2
sample_212,2
sample_213,2
sample_214,2
sample_215,2
sample_216,2
sample_217,2
sample_218,2
sample_219,2
sample_220,2
sample_221,2
sample_222,2
sample_223,2
sample_224,2
sample_225,2
sample_226,2
sample_227,2
sample_228,2
sample_229,2
sample_230,2
sample_231,2
sample_232,2
sample_233,2
sample_234,2
sample_235,2
sample_236,2
sample_237,2
sample_238,2
sample_239,2
sample_240,2
sample_241,2
sample_242,2
sample_243,2
sample_244,2
sample_245,2
sample_246,2
sample_247,2
sample_248,2
sample_249,2
sample_250,2
sample_251,2
sample_252,2
sample_253,2
sample_254,2
sample_255,2
sample_256,2
sample_257,2
sample_258,2
sample_259,2
sample_260,2
sample_261,2
sample_262,2
sample_263,2
sample_264,2
sample_265,2
sample_266,2
sample_267,2
sample_268,2
sample_269,2
sample_270,2
sample_271,2
sample_272,2
sample_273,2
sample_274,2
sample_275,2
sample_276,2
sample_277,2
sample_278,2
sample_279,2
sample_280,2
sample_281,2
sample_282,2
sample_283,2
sample_284,2
sample_285,2
sample_286,2
sample_287,2
sample_288,2
sample_289,2
sample_290,2
sample_291,2
sample_292,2
sample_293,2
sample_294,2
sample_295,2
sample_296,2
sample_297,2
sample_298,2
sample_299,2
sample_300,2
sample_301,2
sample_302,2
sample_303,2
sample_304,2
sample_305,2
sample_306,2
sample_307,2
sample_308,2
sample_309,2
sample_310,2
sample_311,2
sample_312,2
sample_313,2
sample_314,2
sample_315,2
sample_316,2
sample_317,2
sample_318,2
sample_319,2
sample_320,2
sample_321,2
sample_322,2
sample_323,2
sample_324,2
sample_325,2
sample_326,2
sample_327,2
sample_328,2
sample_329,2
sample_330,2
sample_331,2
sample_332,2
sample_333,2
sample_334,2
sample_335,2
sample_336,2
sample_337,2
sample_338,2
sample_339,2
sample_340,2
sample_341,2
sample_342,2
sample_343,2
sample_344,2
sample_345,2
sample_346,2
sample_347,2
sample_348,2
sample_349,2
sample_350,2
sample_351,2
sample_352,2
sample_353,2
sample_354,2
sample_355,2
sample_356,2
sample_357,2
sample_358,2
sample_359,2
sample_360,2
sample_361,2
sample_362,2
sample_363,2
sample_364,2
sample_365,2
sample_366,2
sample_367,2
sample_368,2
sample_369,2
sample_370,2
sample_371,2
sample_372,2
sample_373,2
sample_374,2
sample_375,2
sample_376,2
sample_377,2
sample_378,2
sample_379,2
sample_380,2
sample_381,2
sample_382,2
sample_383,2
sample_384,2
sample_385,2
sample_386,2
sample_387,2
sample_388,2
sample_389,2
sample_390,2
sample_391,2
sample_392,2
sample_393,2
sample_394,2
sample_395,2
sample_396,2
sample_397,2
sample_398,2
sample_399,2
sample_400,2
sample_401,2
sample_402,2
sample_403,2
sample_404,2
sample_405,2
sample_406,2
sample_407,2
sample_408,2
sample_409,2
sample_410,2
sample_411,2
sample_412,2
sample_413,2
sample_414,2
sample_415,2
sample_416,2
sample_417,2
sample_418,2
sample_419,2
sample_420,2
sample_421,2
sample_422,2
sample_423,2
sample_424,2
sample_425,2
sample_426,2
sample_427,2
sample_428,2
sample_429,2
sample_430,2
sample_431,2
sample_432,2
sample_433,2
sample_434,2
sample_435,2
sample_436,2
sample_437,2
sample_438,2
sample_439,2
sample_440,2
sample_441,2
sample_442,2
sample_443,2
sample_444,2
sample_445,2
sample_446,2
sample_447,2
sample_448,2
sample_449,2
sample_450,2
sample_451,2
sample_452,2
sample_453,2
sample_454,2
sample_455,2
sample_456,2
sample_457,2
sample_458,2
sample_459,3
sample_460,3
sample_461,3
sample_462,3
sample_463,3
sample_464,3
sample_465,3
sample_466,3
sample_467,3
sample_468,3
sample_469,3
sample_470,3
sample_471,3
sample_472,3
sample_473,3
sample_474,3
sample_475,3
sample_476,3
sample_477,3
sample_478,3
sample_479,3
sample_480,3
sample_481,3
sample_482,3
sample_483,3
sample_484,3
sample_485,3
sample_486,3
sample_487,3
sample_488,3
sample_489,3
sample_490,3
sample_491,3
sample_492,3
sample_493,3
sample_494,3
sample_495,3
sample_496,3
sample_497,3
sample_498,3
sample_499,3
sample_500,3
sample_501,3
sample_502,3
sample_503,3
sample_504,3
sample_505,3
sample_506,3
sample_507,3
sample_508,3
sample_509,3
sample_510,3
sample_511,3
sample_512,3
sample_513,3
sample_514,3
sample_515,3
sample_516,3
sample_517,3
sample_518,3
sample_519,3
sample_520,3
sample_521,3
sample_522,3
sample_523,3
sample_524,3
sample_525,3
sample_526,3
sample_527,3
sample_528,3
sample_529,3
sample_530,3
sample_531,3
sample_532,3
sample_533,3
sample_534,3
sample_535,3
sample_536,3
sample_537,3
sample_538,3
sample_539,3
sample_540,3
sample_541,3
sample_542,3
sample_543,3
sample_544,3
sample_545,3
sample_546,3
sample_547,3
sample_548,3
sample_549,3
sample_550,3
sample_551,3
sample_552,3
sample_553,3
sample_554,3
sample_555,3
sample_556,3
sample_557,3
sample_558,3
sample_559,3
sample_560,3
sample_561,3
sample_562,3
sample_563,3
sample_564,3
sample_565,3
sample_566,3
sample_567,3
sample_568,3
sample_569,3
sample_570,3
sample_571,3
sample_572,3
sample_573,3
sample_574,3
sample_575,3
sample_576,3
sample_577,3
sample_578,3
sample_579,3
sample_580,3
sample_581,3
sample_582,3
sample_583,3
sample_584,3
sample_585,3
sample_586,3
sample_587,3
sample_588,3
sample_589,3
sample_590,3
sample_591,3
sample_592,3
sample_593,3
sample_594,3
sample_595,3
sample_596,3
sample_597,3
sample_598,3
sample_599,3
sample_600,3
sample_601,3
sample_602,3
sample_603,3
sample_604,3
sample_605,3
sample_606,3
sample_607,3
sample_608,3
sample_609,3
sample_610,3
sample_611,3
sample_612,3
sample_613,3
sample_614,3
sample_615,3
sample_616,3
sample_617,3
sample_618,3
sample_619,3
sample_620,3
sample_621,3
sample_622,3
sample_623,3
sample_624,3
sample_625,3
sample_626,3
sample_627,3
sample_628,3
sample_629,3
sample_630,3
sample_631,3
sample_632,3
sample_633,3
sample_634,3
sample_635,3
sample_636,3
sample_637,3
sample_638,3
sample_639,3
sample_640,3
sample_641,3
sample_642,3
sample_643,3
sample_644,3
sample_645,3
sample_646,3
sample_647,3
sample_648,3
sample_649,3
sample_650,3
sample_651,3
sample_652,3
sample_653,3
sample_654,3
sample_655,4
sample_656,4
sample_657,4
sample_658,4
sample_659,4
sample_660,4
sample_661,4
sample_662,4
sample_663,4
sample_664,4
sample_665,4
sample_666,4
sample_667,4
sample_668,4
sample_669,4
sample_670,4
sample_671,4
sample_672,4
sample_673,4
sample_674,4
sample_675,4
sample_676,4
sample_677,4
sample_678,4
sample_679,4
sample_680,4
sample_681,4
sample_682,4
sample_683,4
sample_684,4
sample_685,4
sample_686,4
sample_687,4
sample_688,4
sample_689,4
sample_690,4
sample_691,4
sample_692,4
sample_693,4
sample_694,4
sample_695,4
sample_696,4
sample_697,4
sample_698,4
sample_699,4
sample_700,4
sample_701,4
sample_702,4
sample_703,4
sample_704,4
sample_705,4
sample_706,4
sample_707,4
sample_708,4
sample_709,4
sample_710,4
sample_711,4
sample_712,4
sample_713,4
sample_714,4
sample_715,4
sample_716,4
sample_717,4
sample_718,4
sample_719,4
sample_720,4
sample_721,4
sample_722,4
sample_723,4
sample_724,4
sample_725,4
sample_726,4
sample_727,4
sample_728,4
sample_729,4
sample_730,4
sample_731,4
sample_732,4
sample_733,4
sample_734,4
sample_735,4
sample_736,4
sample_737,4
sample_738,4
sample_739,4
sample_740,4
sample_741,4
sample_742,4
sample_743,4
sample_744,4
sample_745,4
sample_746,4
sample_747,4
sample_748,4
sample_749,4
sample_750,4
sample_751,4
sample_752,4
sample_753,4
sample_754,4
sample_755,4
sample_756,4
sample_757,4
sample_758,4
sample_759,4
sample_760,4
sample_761,4
sample_762,4
sample_763,4
sample_764,4
sample_765,4
sample_766,4
sample_767,4
sample_768,4
sample_769,4
sample_770,4
sample_771,4
sample_772,4
sample_773,4
sample_774,4
sample_775,4
sample_776,4
sample_777,4
sample_778,4
sample_779,4
sample_780,4
sample_781,4
sample_782,4
sample_783,4
sample_784,4
sample_785,4
sample_786,4
sample_787,4
sample_788,4
sample_789,4
sample_790,4
sample_791,4
sample_792,4
sample_793,4
sample_794,4
sample_795,4
sample_796,4
sample_797,4
sample_798,4
sample_799,4
sample_800,4
sample_801,4
sample_802,4
sample_803,4
sample_804,4
sample_805,4
sample_806,4
sample_807,4
sample_808,4
sample_809,4
sample_810,4
sample_811,4
sample_812,4
sample_813,4
sample_814,4
sample_815,5
sample_816,5
sample_817,5
sample_818,5
sample_819,5
sample_820,5
sample_821,5
sample_822,5
sample_823,5
sample_824,5
sample_825,5
sample_826,5
sample_827,5
sample_828,5
sample_829,5
sample_830,5
sample_831,5
sample_832,5
sample_833,5
sample_834,5
sample_835,5
sample_836,5
sample_837,5
sample_838,5
sample_839,5
sample_840,5
sample_841,5
sample_842,5
sample_843,5
sample_844,5
sample_845,5
sample_846,5
sample_847,5
sample_848,5
sample_849,5
sample_850,5
sample_851,5
sample_852,5
sample_853,5
sample_854,5
sample_855,5
sample_856,5
sample_857,5
sample_858,5
sample_859,5
sample_860,5
sample_861,5
sample_862,5
sample_863,5
sample_864,5
sample_865,5
sample_866,5
sample_867,5
sample_868,5
sample_869,5
sample_870,5
sample_871,5
sample_872,5
sample_873,5
sample_874,5
sample_875,5
sample_876,5
sample_877,5
sample_878,5
sample_879,5
sample_880,5
sample_881,5
sample_882,5
sample_883,5
sample_884,5
sample_885,5
sample_886,5
sample_887,5
sample_888,5
sample_889,5
sample_890,5
sample_891,5
sample_892,5
sample_893,5
sample_894,5
sample_895,5
sample_896,5
sample_897,5
sample_898,5
sample_899,5
sample_900,5
sample_901,5
sample_902,5
sample_903,5
sample_904,5
sample_905,5
sample_906,5
sample_907,5
sample_908,5
sample_909,5
sample_910,5
sample_911,5
sample_912,5
sample_913,5
sample_914,5
sample_915,5
sample_916,5
sample_917,5
sample_918,5
sample_919,5
sample_920,5
sample_921,5
sample_922,5
sample_923,5
sample_924,5
sample_925,6
sample_926,6
sample_927,6
sample_928,6
sample_929,6
sample_930,6
sample_931,6
sample_932,6
sample_933,6
sample_934,6
sample_935,6
sample_936,6
sample_937,6
sample_938,6
sample_939,6
sample_940,6
sample_941,6
sample_942,6
sample_943,6
sample_944,6
sample_945,6
sample_946,6
sample_947,6
sample_948,6
sample_949,6
sample_950,6
sample_951,6
sample_952,6
sample_953,6
sample_954,6
sample_955,6
sample_956,6
sample_957,6
sample_958,6
sample_959,6
sample_960,6
sample_961,6
sample_962,6
sample_963,6
sample_964,6
sample_965,6
sample_966,6
sample_967,6
sample_968,6
sample_969,6
sample_970,6
sample_971,6
sample_972,6
sample_973,6
sample_974,6
sample_975,6
sample_976,6
sample_977,6
sample_978,6
sample_979,6
sample_980,6
sample_981,6
sample_982,6
sample_983,6
sample_984,6
sample_985,6
sample_986,6
sample_987,6
sample_988,6
sample_989,6
sample_990,6
sample_991,6
sample_992,6
sample_993,6
sample_994,6
sample_995,6
sample_996,6
sample_997,6
sample_998,6
sample_999,6
sample_1000,6
sample_1001,6
sample_1002,6
sample_1003,6
sample_1004,6
sample_1005,6
sample_1006,6
sample_1007,6
sample_1008,6
sample_1009,6
sample_1010,6
sample_1011,6
sample_1012,6
sample_1013,6
sample_1014,6
sample_1015,6
sample_1016,6
sample_1017,6
sample_1018,6
sample_1019,6
sample_1020,6
sample_1021,6
sample_1022,6
sample_1023,6
sample_1024,6
sample_1025,6
sample_1026,6
sample_1027,6
sample_1028,6
sample_1029,6
sample_1030,6
sample_1031,6
sample_1032,6
sample_1033,7
sample_1034,7
sample_1035,7
sample_1036,7
sample_1037,7
sample_1038,7
sample_1039,7
sample_1040,7
sample_1041,7
sample_1042,7
sample_1043,7
sample_1044,7
sample_1045,7
sample_1046,7
sample_1047,7
sample_1048,7
sample_1049,7
sample_1050,7
sample_1051,7
sample_1052,7
sample_1053,7
sample_1054,7
sample_1055,7
sample_1056,7
sample_1057,7
sample_1058,7
sample_1059,7
sample_1060,7
sample_1061,7
sample_1062,7
sample_1063,7
sample_1064,7
sample_1065,7
sample_1066,7
sample_1067,7
sample_1068,7
sample_1069,7
sample_1070,7
sample_1071,7
sample_1072,7
sample_1073,7
sample_1074,7
sample_1075,7
sample_1076,7
sample_1077,7
sample_1078,7
sample_1079,7
sample_1080,7
sample_1081,7
sample_1082,7
sample_1083,7
sample_1084,7
sample_1085,7
sample_1086,7
sample_1087,7
sample_1088,7
sample_1089,7
sample_1090,7
sample_1091,7
sample_1092,7
sample_1093,7
sample_1094,7
sample_1095,7
sample_1096,7
sample_1097,7
sample_1098,7
sample_1099,7
sample_1100,7
sample_1101,7
sample_1102,7
sample_1103,7
sample_1104,7
sample_1105,7
sample_1106,7
sample_1107,7
sample_1108,7
sample_1109,7
sample_1110,7
sample_1111,7
sample_1112,7
sample_1113,7
sample_1114,7
sample_1115,7
sample_1116,7
sample_1117,7
sample_1118,7
sample_1119,7
sample_1120,7
sample_1121,7
sample_1122,7
sample_1123,7
sample_1124,7
sample_1125,7
sample_1126,7
sample_1127,7
sample_1128,7
sample_1129,7
sample_1130,7
sample_1131,7
sample_1132,7
sample_1133,7
sample_1134,7
sample_1135,7
sample_1136,7
sample_1137,7
sample_1138,7
sample_1139,7
sample_1140,7
sample_1141,7
sample_1142,7
sample_1143,7
sample_1144,7
sample_1145,7
sample_1146,7
sample_1147,7
sample_1148,7
sample_1149,7
sample_1150,7
sample_1151,7
sample_1152,7
sample_1153,7
sample_1154,7
sample_1155,7
sample_1156,7
sample_1157,7
sample_1158,7
sample_1159,7
sample_1160,7
sample_1161,7
sample_1162,7
sample_1163,7
sample_1164,7
sample_1165,7
sample_1166,7
sample_1167,7
sample_1168,7
sample_1169,7
sample_1170,7
sample_1171,7
sample_1172,7
sample_1173,7
sample_1174,7
sample_1175,7
sample_1176,7
sample_1177,7
sample_1178,7
sample_1179,7
sample_1180,7
sample_1181,7
sample_1182,7
sample_1183,7
sample_1184,7
sample_1185,7
sample_1186,7
sample_1187,7
sample_1188,7
sample_1189,7
sample_1190,7
sample_1191,7
sample_1192,7
sample_1193,7
sample_1194,7
sample_1195,7
sample_1196,7
sample_1197,7
sample_1198,7
sample_1199,7
sample_1200,7
sample_1201,7
sample_1202,7
sample_1203,7
sample_1204,7
sample_1205,7
sample_1206,7
sample_1207,7
sample_1208,7
sample_1209,7
sample_1210,7
sample_1211,7
sample_1212,7
sample_1213,7
sample_1214,7
sample_1215,7
sample_1216,7
sample_1217,7
sample_1218,7
sample_1219,7
sample_1220,7
sample_1221,7
sample_1222,7
sample_1223,7
sample_1224,7
sample_1225,7
sample_1226,7
sample_1227,7
sample_1228,7
sample_1229,7
sample_1230,7
sample_1231,7
sample_1232,7
sample_1233,7
sample_1234,7
sample_1235,7
sample_1236,7
sample_1237,7
sample_1238,7
sample_1239,7
sample_1240,7
sample_1241,7
sample_1242,7
sample_1243,7
sample_1244,7
sample_1245,8
sample_1246,8
sample_1247,8
sample_1248,8
sample_1249,8
sample_1250,8
sample_1251,8
sample_1252,8
sample_1253,8
sample_1254,8
sample_1255,8
sample_1256,8
sample_1257,8
sample_1258,8
sample_1259,8
sample_1260,8
sample_1261,8
sample_1262,8
sample_1263,8
sample_1264,8
sample_1265,8
sample_1266,8
sample_1267,8
sample_1268,8
sample_1269,8
sample_1270,8
sample_1271,8
sample_1272,8
sample_1273,8
sample_1274,8
sample_1275,8
sample_1276,8
sample_1277,8
sample_1278,8
sample_1279,8
sample_1280,8
sample_1281,8
sample_1282,8
sample_1283,8
sample_1284,8
sample_1285,8
sample_1286,8
sample_1287,8
sample_1288,8
sample_1289,8
sample_1290,8
sample_1291,8
sample_1292,8
sample_1293,8
sample_1294,8
sample_1295,8
sample_1296,8
sample_1297,8
sample_1298,8
sample_1299,8
sample_1300,8
sample_1301,8
sample_1302,8
sample_1303,8
sample_1304,8
sample_1305,8
sample_1306,8
sample_1307,8
sample_1308,8
sample_1309,8
sample_1310,8
sample_1311,8
sample_1312,8
sample_1313,8
sample_1314,8
sample_1315,8
sample_1316,8
sample_1317,8
sample_1318,8
sample_1319,8
sample_1320,8
sample_1321,8
sample_1322,8
sample_1323,8
sample_1324,8
sample_1325,8
sample_1326,8
sample_1327,8
sample_1328,8
sample_1329,8
sample_1330,8
sample_1331,8
sample_1332,8
sample_1333,8
sample_1334,8
sample_1335,8
sample_1336,8
sample_1337,8
sample_1338,8
sample_1339,8
sample_1340,8
sample_1341,8
sample_1342,8
sample_1343,8
sample_1344,8
sample_1345,8
sample_1346,8
sample_1347,8
sample_1348,8
sample_1349,8
sample_1350,8
sample_1351,8
sample_1352,8
sample_1353,8
sample_1354,8
sample_1355,8
sample_1356,8
sample_1357,8
sample_1358,8
sample_1359,8
sample_1360,8
sample_1361,8
sample_1362,8
sample_1363,8
sample_1364,8
sample_1365,8
sample_1366,8
sample_1367,8
sample_1368,8
sample_1369,8
sample_1370,8
sample_1371,8
sample_1372,8
sample_1373,8
sample_1374,8
sample_1375,8
sample_1376,8
sample_1377,8
sample_1378,8
sample_1379,8
sample_1380,8
sample_1381,8
sample_1382,8
sample_1383,8
sample_1384,8
sample_1385,8
sample_1386,8
sample_1387,8
sample_1388,8
sample_1389,8
sample_1390,8
sample_1391,8
sample_1392,8
sample_1393,8
sample_1394,8
sample_1395,8
sample_1396,8
sample_1397,8
sample_1398,8
sample_1399,8
sample_1400,8
sample_1401,8
sample_1402,8
sample_1403,8
sample_1404,8
sample_1405,8
sample_1406,8
sample_1407,8
sample_1408,8
sample_1409,8
sample_1410,8
sample_1411,8
sample_1412,8
sample_1413,8
sample_1414,8
sample_1415,8
sample_1416,8
sample_1417,8
sample_1418,8
sample_1419,8
sample_1420,8
sample_1421,8
sample_1422,8
sample_1423,8
sample_1424,8
sample_1425,8
sample_1426,9
sample_1427,9
sample_1428,9
sample_1429,9
sample_1430,9
sample_1431,9
sample_1432,9
sample_1433,9
sample_1434,9
sample_1435,9
sample_1436,9
sample_1437,9
sample_1438,9
sample_1439,9
sample_1440,9
sample_1441,9
sample_1442,9
sample_1443,9
sample_1444,9
sample_1445,9
sample_1446,9
sample_1447,9
sample_1448,9
sample_1449,9
sample_1450,9
sample_1451,9
sample_1452,9
sample_1453,9
sample_1454,9
sample_1455,9
sample_1456,9
sample_1457,9
sample_1458,9
sample_1459,9
sample_1460,9
sample_1461,9
sample_1462,9
sample_1463,9
sample_1464,9
sample_1465,9
sample_1466,9
sample_1467,9
sample_1468,9
sample_1469,9
sample_1470,9
sample_1471,9
sample_1472,9
sample_1473,9
sample_1474,9
sample_1475,9
sample_1476,9
sample_1477,9
sample_1478,9
sample_1479,9
sample_1480,9
sample_1481,9
sample_1482,9
sample_1483,9
sample_1484,9
sample_1485,9
sample_1486,9
sample_1487,9
sample_1488,9
sample_1489,9
sample_1490,9
sample_1491,9
sample_1492,9
sample_1493,9
sample_1494,9
sample_1495,9
sample_1496,9
sample_1497,9
sample_1498,9
sample_1499,9
sample_1500,9
